Campaign Name,Tags,Subject,List,Send Time,Send Weekday,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel,Client ID,Client Name
(LIVE 2 LIVE) Best Segment/ Sorry for your order,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-02 8:00:00,Thursday,373,1.05%,7867.41,17300,48.51%,24423,623,1.75%,784,250,9,0.03%,35661,217,0.60%,01KMZPB0GXW4S81K3WA3BKMDX8,Email,2,Live 2 Live
(LIVE 2 LIVE) Community Fits  (clone),,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-04-03 8:00:00,Friday,169,0.10%,3570.3,88902,52.68%,114463,696,0.41%,904,504,33,0.02%,168766,102,0.06%,01KMZQRBDQQCVPE4MA0E5ZD44C,Email,2,Live 2 Live
FAVOURITE PIECES FROM THE FOUNDER  (Resend from Dec),,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-04 8:00:00,Saturday,89,0.07%,2610.17,87176,66.76%,114000,690,0.53%,907,373,21,0.02%,130581,125,0.10%,01KMQD17YV4MSCB79F4BAPYEV2,Email,2,Live 2 Live
Internal (Clickbait) Text base Influencer code (clone),,[MULTIPLE VARIATIONS],"CHECKOUT INTENT (ALMOST BUYER), ENGAGED NON-PURCHASERS (HIGH INTENT), Returning Buyers (2+Orders)",2026-04-05 7:00:00,Sunday,266,0.89%,5098.99,13336,44.54%,18805,376,1.26%,419,297,10,0.03%,29945,27,0.09%,01KNA7061PMY1X00JVWRB6C28T,Email,2,Live 2 Live
Email 1,,[MULTIPLE VARIATIONS],60D ENGAGED (OPEN/CLICKED),2026-04-06 6:45:00,Monday,191,0.10%,5028.53,85199,46.80%,110058,1163,0.64%,1483,743,45,0.03%,182043,78,0.04%,01KN568NCFYZRDAJJSNFP2KEZ7,Email,2,Live 2 Live
Email 1,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-07 7:00:00,Tuesday,250,0.18%,6274.38,94356,67.39%,126015,1254,0.90%,1499,639,28,0.02%,140013,53,0.04%,01KNFC5YJH1PSS5NS9SMH4XMX3,Email,2,Live 2 Live
Email 1,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-08 7:00:00,Wednesday,102,0.23%,2825.53,16145,35.79%,21691,292,0.65%,346,239,18,0.04%,45108,74,0.16%,01KNHXBR7A6X1AE3X1VVBH66V2,Email,2,Live 2 Live
MM| 20260406 | 30DENGAGED | RESEND | ORDER ON US,,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-04-09 7:00:00,Thursday,36,0.02%,1769.87,93440,59.19%,124649,865,0.55%,975,550,12,0.01%,157858,234,0.15%,01KNJ6T1R6S8314P7CA2M68VZK,Email,2,Live 2 Live
MM | 20260406 | 30DENGAGED | RESEND | UGC COMMUNITY,,[MULTIPLE VARIATIONS],60D ENGAGED (OPEN/CLICKED),2026-04-10 7:00:00,Friday,27,0.01%,1192.66,102007,54.86%,136745,631,0.34%,803,597,26,0.01%,185924,161,0.09%,01KNJNR8PX9JCDMR24MP444P06,Email,2,Live 2 Live
MM | 20260406 | 14D ENGAGED | RESEND | LONG SLEEVES,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-11 6:45:00,Saturday,100,0.07%,4749.03,93958,64.36%,128856,1403,0.96%,1605,543,18,0.01%,145986,109,0.07%,01KNJSA5BJKC3P2H4HV8K1WGPD,Email,2,Live 2 Live
