Flow ID,Flow Name,Flow Message ID,Flow Message Name,Flow Message Channel,Status,Delivered,Unique Opens,Open Rate,Unique Clicks,Click Rate,Placed Order,Placed Order Rate,Revenue,Revenue per Recipient,Unsub Rate,Complaint Rate,Bounce Rate,Tags,Client ID,Client Name
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),Tv4HwE,Abandoned Cart 1 (New Customers),Email,live,4936,2477,0.50182,373,0.07557,58,0.01175,3148.44002,0.63785,0.02391,0.00061,0.11684,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),UEpZbr,"Abandoned Cart 1 (New Customers) Test #4 May 08, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),SMkRjy,"Abandoned Cart 1 (New Customers) Test #4 May 08, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),UzQi58,Abandoned Cart 2 (New Customers),Email,live,4420,1982,0.44842,231,0.05226,42,0.0095,1720.07999,0.38916,0.01561,0.00045,0.11741,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),YrJkKh,Abandoned Cart 2 (Repeat Purchaser),Email,live,683,393,0.5754,38,0.05564,10,0.01464,374.4,0.54817,0.00586,0,0.05793,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),QPJ2mn,Abandoned Cart 3 (New Customers),Email,live,4156,1451,0.34913,79,0.01901,16,0.00385,752.91001,0.18116,0.00987,0.00048,0.12707,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),SSe7yQ,"Abandoned Cart 3 (New Customers) Test #5 May 08, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),SMARds,"Abandoned Cart 3 (New Customers) Test #5 May 08, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),X2MfXF,Abandoned Cart 4 (New Customers),Email,live,3939,1136,0.2884,80,0.02031,17,0.00432,695.86001,0.17666,0.00482,0.00051,0.12564,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),U7jGBg,"Abandoned Cart 4 (New Customers) Test #1 May 08, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),YezfTt,"Abandoned Cart 4 (New Customers) Test #1 May 08, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),XeL7WT,Abandoned Cart 5 (New Customers),Email,live,3737,1717,0.45946,133,0.03559,21,0.00562,866.78,0.23195,0.00776,0,0.1238,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),Rtx5F9,Email 1: Abandoned Cart (Repeat Purchaser),Email,live,779,430,0.55199,104,0.1335,18,0.02311,1105.40001,1.419,0.00513,0,0.06258,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),RVvxNw,"Email 1: Abandoned Cart (Repeat Purchaser) Test #2 May 08, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
SWEVfr,ABANDONED CART - (FINISHED A/B TESTING),RQSht8,"Email 1: Abandoned Cart (Repeat Purchaser) Test #2 May 08, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),XSsLgH,Abandoned Cart 3: Scarcity,Email,live,4712,1750,0.37139,133,0.02823,28,0.00594,1315.48,0.27918,0.01528,0,0.13763,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),YuYWsL,"Abandoned Cart 3: Scarcity Test #4 May 16, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),XRXTQ9,"Abandoned Cart 3: Scarcity Test #4 May 16, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),Ue7bg7,Abandoned Checkout 4: Social Proof/ Testimonial,Email,live,4250,1613,0.37953,75,0.01765,13,0.00306,558.03,0.1313,0.01294,0.00047,0.13688,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),Ukqrz3,Abandoned Checkout 5: Objection Crusher/ FAQ,Email,live,3771,1045,0.27711,72,0.01909,19,0.00504,1006.56999,0.26692,0.0053,0.00027,0.12323,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),Yg4rtR,"Abandoned Checkout 5: Objection Crusher/ FAQ Test #2 May 16, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),U4bBQg,"Abandoned Checkout 5: Objection Crusher/ FAQ Test #2 May 16, 2026 Variation B",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),SzLy97,Abandoned Checkout 6: Discount Offer,Email,live,3435,884,0.25735,32,0.00932,4,0.00116,221.61,0.06452,0.00524,0.00058,0.0818,,2,Live 2 Live
XFZKvd,ABANDONED CHECKOUT (FINISHED A/B TESTING),RsqqV8,"Abandoned Checkout 6: Discount Offer Test #3 May 16, 2026 Variation A",Email,manual,0,0,0,0,0,0,0,0,0,0,0,0,,2,Live 2 Live
